ID,pipeline,environment,host,service_sid,service_name,port,schema_name,username,password,is_managed,mssql_auth_type
12,HRMADM,SHK,null,null,null,,AH3111OSHK,,,false,
12,HRMADM,Sandbox,null,null,null,,AH3111OSBX,,,false,
12,HRMADM,QA,null,null,null,,AH3111OQA,,,false,
12,HRMADM,ST,null,null,null,,AH3111OST,,,false,
12,HRMADM,Day0,null,null,null,,AH3111ODZ_DEVOPS,,,false,
9,HumanResources,STAGE,null,null,null,,HR_STAGE,,,false,
9,HumanResources,PreRun,null,null,null,,HR_PCK,,,false,
9,HumanResources,QA2,null,null,null,,HR_QA2,,,false,
9,HumanResources,QA1,null,null,null,,HR_QA1,,,false,
9,HumanResources,DIT,teamwork2012,orcl,orcl,,HR_DEV,,,true,
9,HumanResources,PROD,null,null,null,,HR_LIVE,,,false,
9,HumanResources,Sandbox,teamwork2012,orcl,orcl,,HR_SANDBOX,,,true,
1,MP_Dev,DEV,teamwork2012,orcl,orcl,,MP_DEV,,,true,
1,MP_Dev,QA,null,null,null,,MP_QA,,,false,
2,MP_Dev2,DEV,teamwork2012,orcl,orcl,,MP_DEV2,,,true,
2,MP_Dev2,QA,null,null,null,,MP_QA2,,,false,
3,MP_Release,PROD,null,null,null,,MP_PROD,,,false,
3,MP_Release,SIT,teamwork2012,orcl,orcl,,MP_SIT,,,true,
3,MP_Release,Staging,null,null,null,,MP_STAGE,,,false,
15,Pharmacy,DIT,null,null,null,,Pharmacy-DEV,,,false,
15,Pharmacy,Sandbox,null,null,null,,Pharmacy-SBX,,,false,
15,Pharmacy,QA,null,null,null,,Pharmacy-TEST,,,false,
15,Pharmacy,PROD,null,null,null,,Pharmacy-PROD,,,false,
